Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Maruti,2017,Ertiga VXI CNG,Ertiga VXI CNG,Manual,"72,571 km",1st owner,CNG,MH47-W2566,"₹15,073/month",₹7.71 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2017,Creta E PLUS 1.6 PETROL,Creta E PLUS 1.6 PETROL,Manual,"39,827 km",1st owner,Petrol,MH02-EP0091,"₹14,936/month",₹7.64 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2019,Elite i20 SPORTZ PLUS 1.2 CVT,Elite i20 SPORTZ PLUS 1.2 CVT,Automatic,"35,902 km",1st owner,Petrol,MH01-DE8757,"₹13,470/month",₹6.89 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2015,Wagon R 1.0 VXI,Wagon R 1.0 VXI,Manual,"28,048 km",2nd owner,Petrol,MH46-AP2863,"₹6,452/month",₹3.3 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2018,Swift VXI AMT,Swift VXI AMT,Automatic,"41,110 km",1st owner,Petrol,MH01-DB4479,"₹10,792/month",₹5.52 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Alto 800 LXI,Alto 800 LXI,Manual,"87,564 km",1st owner,Petrol,MH46-Z6737,"₹4,560/month",₹2.05 Lakh,On Zero down payment,"Mulund West, Mumbai"
Nissan,2022,MAGNITE XV PREMIUM TURBO CVT,MAGNITE XV PREMIUM TURBO CVT,Automatic,"3,955 km",1st owner,Petrol,MH02-FU8367,"₹17,359/month",₹9.12 Lakh,On Zero down payment,"Goregaon, Mumbai"
Renault,2019,TRIBER RXL MT,TRIBER RXL MT,Manual,"21,917 km",1st owner,Petrol,MH01-DK2607,"₹9,501/month",₹4.86 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2019,VENUE S 1.2,VENUE S 1.2,Manual,"5,114 km",1st owner,Petrol,MH47-AN4114,"₹13,998/month",₹7.16 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Celerio ZXI,Celerio ZXI,Manual,"27,882 km",1st owner,Petrol,MH47-W0326,"₹8,192/month",₹4.19 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2013,Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Manual,"65,914 km",2nd owner,Petrol,MH02-CV8593,"₹9,875/month",₹3.75 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Manual,"31,391 km",1st owner,Petrol,MH01-CD6438,"₹14,780/month",₹7.56 Lakh,On Zero down payment,Seawood
Tata,2020,NEXON XM SUNROOF PETROL,NEXON XM SUNROOF PETROL,Manual,"26,615 km",1st owner,Petrol,MH47-AU6947,"₹15,093/month",₹7.72 Lakh,On Zero down payment,Seawood
Maruti,2019,S PRESSO VXI+,S PRESSO VXI+,Manual,"11,141 km",1st owner,Petrol,MH02-FJ2158,"₹8,094/month",₹4.14 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2017,Dzire ZDI AMT,Dzire ZDI AMT,Manual,"69,399 km",1st owner,Diesel,MH02-EP1950,"₹11,965/month",₹6.12 Lakh,On Zero down payment,Seawood
Maruti,2014,Ertiga VXI,Ertiga VXI,Manual,"65,000 km",2nd owner,Petrol,MH04-GJ6726,"₹11,901/month",₹5.35 Lakh,On Zero down payment,"Goregaon, Mumbai"
Skoda,2018,Rapid STYLE 1.6 MPI,Rapid STYLE 1.6 MPI,Manual,"59,417 km",1st owner,Petrol,MH01-DB7576,"₹14,193/month",₹7.26 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2019,City 1.5L I-VTEC SV,City 1.5L I-VTEC SV,Manual,"28,051 km",1st owner,Petrol,MH05-EA3698,"₹15,308/month",₹7.83 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2021,NEW I20 ASTA 1.2 AT,NEW I20 ASTA 1.2 AT,Automatic,"13,753 km",1st owner,Petrol,MH02-FN4035,"₹16,369/month",₹8.6 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2018,TIGOR XZ PETROL,TIGOR XZ PETROL,Manual,"45,641 km",1st owner,Petrol,MH04-JM2876,"₹9,404/month",₹4.81 Lakh,On Zero down payment,"Goregaon, Mumbai"
