Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Maruti,2016,Wagon R 1.0 VXI,Manual,79430,2nd,Petrol,HR26-DA5416,5806,297000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Tata,2022,PUNCH ACCOMPLISHED MT,Manual,21955,1st,Petrol,DL11-CC9237,13646,698000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2023,Swift VXI AMT,Automatic,11603,1st,Petrol,HR26-FD3340,13763,704000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Nissan,2022,MAGNITE XE,Manual,19269,1st,Petrol,HR16-Z7809,11711,599000,0,Parsvnath City Mall,Delhi
Honda,2021,City 1.5L I-VTEC V MT 4TH GEN,Manual,11120,1st,Petrol,DL10-CQ7523,18197,956000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2018,Wagon R 1.0 LXI CNG,Manual,56257,1st,CNG,HR26-DS8532,7840,401000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2014,Elite i20 ASTA 1.2,Manual,68876,1st,Petrol,DL4C-BA3256,9343,420000,0,Parsvnath City Mall,Delhi
Mahindra,2021,XUV300 W6 1.2 PETROL,Manual,38872,1st,Petrol,UP16-CY9690,18520,973000,0,KW Delhi 6,Delhi
Maruti,2019,New Wagon-R VXI 1.0,Manual,19823,1st,Petrol,DL1C-AB9525,8602,440000,0,"Metro Walk, Rohini, New Delhi",Delhi
Tata,2022,PUNCH CREATIVE AMT,Automatic,30185,1st,Petrol,UP16-DH1790,15646,822000,0,KW Delhi 6,Delhi
Hyundai,2021,VENUE S+ 1.2,Manual,22008,1st,Petrol,HR51-CE8227,15494,814000,0,Parsvnath City Mall,Delhi
Hyundai,2022,Creta EX 1.5 PETROL,Manual,19352,1st,Petrol,DL5C-T9459,23260,1222000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2018,Alto 800 LXI,Manual,67026,2nd,Petrol,HR50-G1397,5474,280000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Mahindra,2021,Thar LX PETROL HT 4WD AT,Automatic,19467,1st,Petrol,HR98-B0226,28285,1486000,0,Parsvnath City Mall,Delhi
