Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Maruti,2017,Ertiga VXI CNG,Manual,72571,1st,CNG,MH47-W2566,15073,771000,0,Goregaon,Mumbai
Hyundai,2017,Creta E PLUS 1.6 PETROL,Manual,39827,1st,Petrol,MH02-EP0091,14936,764000,0,Goregaon,Mumbai
Hyundai,2019,Elite i20 SPORTZ PLUS 1.2 CVT,Automatic,35902,1st,Petrol,MH01-DE8757,13470,689000,0,Goregaon,Mumbai
Maruti,2015,Wagon R 1.0 VXI,Manual,28048,2nd,Petrol,MH46-AP2863,6452,330000,0,Goregaon,Mumbai
Maruti,2018,Swift VXI AMT,Automatic,41110,1st,Petrol,MH01-DB4479,10792,552000,0,Mulund West,Mumbai
Maruti,2014,Alto 800 LXI,Manual,87564,1st,Petrol,MH46-Z6737,4560,204999,0,Mulund West,Mumbai
Nissan,2022,MAGNITE XV PREMIUM TURBO CVT,Automatic,3955,1st,Petrol,MH02-FU8367,17359,911999,0,Goregaon,Mumbai
Renault,2019,TRIBER RXL MT,Manual,21917,1st,Petrol,MH01-DK2607,9501,486000,0,Goregaon,Mumbai
Hyundai,2019,VENUE S 1.2,Manual,5114,1st,Petrol,MH47-AN4114,13998,716000,0,Goregaon,Mumbai
Maruti,2017,Celerio ZXI,Manual,27882,1st,Petrol,MH47-W0326,8192,419000,0,Goregaon,Mumbai
Hyundai,2013,Verna FLUIDIC 1.6 VTVT SX,Manual,65914,2nd,Petrol,MH02-CV8593,9875,375000,0,Goregaon,Mumbai
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Manual,31391,1st,Petrol,MH01-CD6438,14780,756000,0,Seawood,Mumbai
Tata,2020,NEXON XM SUNROOF PETROL,Manual,26615,1st,Petrol,MH47-AU6947,15093,772000,0,Seawood,Mumbai
Maruti,2019,S PRESSO VXI+,Manual,11141,1st,Petrol,MH02-FJ2158,8094,413999,0,Mulund West,Mumbai
Maruti,2017,Dzire ZDI AMT,Manual,69399,1st,Diesel,MH02-EP1950,11965,612000,0,Seawood,Mumbai
Maruti,2014,Ertiga VXI,Manual,65000,2nd,Petrol,MH04-GJ6726,11901,535000,0,Goregaon,Mumbai
Skoda,2018,Rapid STYLE 1.6 MPI,Manual,59417,1st,Petrol,MH01-DB7576,14193,726000,0,Mulund West,Mumbai
